id;c_name;ticker;sector;industry;no_yrs;ranking;price;yield;dividend;payouts;annualized
1;Agilent Technologies Inc.;A;Health Care;Life Sciences Tools & Services;9;527;77.07;0.93;0.1800;4;0.72
2;Aaron's Inc.;AAN;Consumer Discretionary;Specialty Retail;17;219;39.33;0.41;0.0400;4;0.16
3;Apple Inc.;AAPL;Information Technology;Technology Hardware. Storage & Peripherals;8;564;273.36;1.13;0.7700;4;3.08
4;American Assets Trust Inc.;AAT;Real Estate;Equity Real Estate Investment Trusts (REITs);9;522;41.45;2.90;0.3000;4;1.20
5;AbbVie Inc.;ABBV;Health Care;Biotechnology;8;619;85.71;5.51;1.1800;4;4.72
6;AmerisourceBergen Corp.;ABC;Health Care;Health Care Providers & Services;16;248;84.32;1.99;0.4200;4;1.68
7;ABM Industries Inc.;ABM;Industrials;Commercial Services & Supplies;53;18;32.92;2.25;0.1850;4;0.74
8;Arbor Realty Trust Inc.;ABR;Financials;Mortgage Real Estate Investment Trusts (REITs);8;599;12.14;9.88;0.3000;4;1.20
9;Abbott Laboratories;ABT;Health Care;Health Care Equipment & Supplies;7;707;77.03;1.87;0.3600;4;1.44
10;American Campus Communities;ACC;Real Estate;Equity Real Estate Investment Trusts (REITs);7;666;43.44;4.33;0.4700;4;1.88
11;Accenture plc;ACN;Information Technology;IT Services;15;266;180.59;1.77;0.8000;4;3.20
12;Acme United Corp.;ACU;Industrials;Commercial Services & Supplies;16;230;23.22;2.07;0.1200;4;0.48
13;Agree Realty Corp.;ADC;Real Estate;Equity Real Estate Investment Trusts (REITs);8;609;71.82;3.26;0.5850;4;2.34
14;Analog Devices Inc.;ADI;Information Technology;Semiconductors & Semiconductor Equipment;18;195;109.05;2.27;0.6200;4;2.48
15;Archer Daniels Midland;ADM;Consumer Staples;Food Products;45;54;37.65;3.82;0.3600;4;1.44
16;Automatic Data Proc.;ADP;Information Technology;IT Services;44;59;154.74;2.35;0.9100;4;3.64
17;Ameren Corp;AEE;Utilities;Multi-Utilities;6;789;79.00;2.51;0.4950;4;1.98
18;American Equity Investment Life Holding Co.;AEL;Financials;Insurance;17;215;25.28;1.19;0.3000;1;0.30
19;American Electric Power Co.;AEP;Utilities;Electric Utilities;10;380;89.26;3.14;0.7000;4;2.80
20;AES Corp.;AES;Utilities;Independent Power and Renewable Electricity Producers;9;529;16.73;3.43;0.1433;4;0.57
21;American Financial Group Inc.;AFG;Financials;Insurance;14;281;92.42;1.95;0.4500;4;1.80
22;AFLAC Inc.;AFL;Financials;Insurance;38;70;42.85;2.61;0.2800;4;1.12
23;AGCO Corp.;AGCO;Industrials;Machinery;7;670;60.43;1.06;0.1600;4;0.64
24;Federal Agricultural Mortgage Corp.;AGM;Financials;Thrifts & Mortgage Finance;9;544;75.06;4.26;0.8000;4;3.20
25;Assured Guaranty Ltd.;AGO;Financials;Insurance;9;540;40.81;1.96;0.2000;4;0.80
26;Armada Hoffler Properties Inc.;AHH;Real Estate;Equity Real Estate Investment Trusts (REITs);8;647;16.76;5.25;0.2200;4;0.88
27;Applied Industrial Technologies Inc.;AIT;Industrials;Trading Companies & Distributors;11;324;58.99;2.17;0.3200;4;1.28
28;Apartment Investment & Management Co.;AIV;Real Estate;Equity Real Estate Investment Trusts (REITs);10;403;47.84;3.43;0.4100;4;1.64
29;Assurant Inc.;AIZ;Financials;Insurance;16;244;120.59;2.09;0.6300;4;2.52
30;Arthur J. Gallagher & Co.;AJG;Financials;Insurance;10;416;97.49;1.85;0.4500;4;1.80
31;Great Ajax Corp.;AJX;Financials;Mortgage Real Estate Investment Trusts (REITs);5;823;14.13;9.06;0.3200;4;1.28
